name
Abiotrophia defectiva
Bordetella bronchiseptica
Botryobasidium botryosum
Brachybacterium faecium
Brachymonas chironomi
Brachyspira murdochii
Brackiella oedipodis
Bradyrhizobium japonicum
Branchiostoma floridae
Brenneria salicis
Breviata anathema
Brevibacillus brevis
Brevibacterium linens
Brevinema andersonii
Brevundimonas subvibrioides
Brochothrix thermosphacta
Brucella abortus
Bryobacter aggregatus
Buchnera aphidicola
Budvicia aquatica
Bulleidia extructa
Burkholderia cenocepacia
Buttiauxella agrestis
Butyricicoccus pullicaecorum
Butyricimonas virosa
Butyrivibrio fibrisolvens
Caenispirillum salinarum
Caenorhabditis elegans
Caldalkalibacillus thermarum
Caldanaerobacter subterraneus
Caldanaerovirga acetigignens
Caldicoprobacter oshimai
Caldilinea aerophila
Caldimonas manganoxidans
Caldisericum exile
Caldisphaera lagunensis
Calditerrivibrio nitroreducens
Caldithrix abyssi
Caldivirga maquilingensis
Caloramator australicus
Calyptogena magnifica
Caminibacter mediatlanticus
Campylobacter jejuni
Candida dubliniensis
Capnocytophaga ochracea
Capsaspora owczarzaki
Carboxydothermus hydrogenoformans
Cardiobacterium valvarum
Carnimonas nigrificans
Carnobacterium maltaromaticum
Catellicoccus marimammalium
Catelliglobosispora koreensis
Catenibacterium mitsuokai
Catenovulum agarivorans
Catenulispora acidiphila
Catonella morbi
Caulobacter segnis
Cecembia lonarensis
Cedecea davisae
Cellulomonas flavigena
Cellulophaga lytica
Cellulosimicrobium cellulans
Cellvibrio japonicus
Cenarchaeum symbiosum
Centipeda periodontii
Cercospora sojina
Cesiribacter andamanensis
Cetobacterium somerae
Chaetomium globosum
Chitinimonas koreensis
Chitinophaga pinensis
Chlamydomonas reinhardtii
Chlorobaculum parvum
Chlorobium chlorochromatii
Chloroflexus aurantiacus
Chloroherpeton thalassium
Chondromyces apiculatus
Chromobacterium violaceum
Chromohalobacter salexigens
Chroococcidiopsis thermalis
Chryseobacterium gregarium
Chrysiogenes arsenatis
Chthoniobacter flavus
Chthonomonas calidirosea
Ciona intestinalis
Citrobacter rodentium
Clavibacter michiganensis
Clavispora lusitaniae
Cloacibacillus evryensis
Clostridiisalibacter paucivorans
Clostridium acetobutylicum
Cobetia marina
Coemansia reversa
Cohnella panacarvi
Collimonas fungivorans
Collinsella intestinalis
Collodictyon triciliatum
Colwellia psychrerythraea
Comamonas testosteroni
Conchiformibius steedae
Conexibacter woesei
Congregibacter litoralis
Coprinopsis cinerea
Coprobacter fastidiosus
Coraliomargarita akajimensis
Corallococcus coralloides
Coriobacterium glomerans
Corynebacterium argentoratense
Coxiella burnetii
Crinalium epipsammum
Croceibacter atlanticus
Crocinitomix catalasitica
Crocosphaera watsonii
Cronobacter sakazakii
Cryptobacterium curtum
Cryptococcus neoformans
Cryptosporangium arvum
Cryptosporidium parvum
Cucumibacter marinus
Culex pipiens
Curtobacterium flaccumfaciens
Curvibacter lanceolatus
Cyanidioschyzon merolae
Cyanobacterium stanieri
Cyanobium gracile
Cyanophora paradoxa
Cyclobacterium marinum
Cylindrospermopsis raciborskii
Cylindrospermum stagnale
Cytophaga hutchinsonii
Dactylococcopsis salina
Danio rerio
Daphnia pulex
Dasania marina
Debaryomyces hansenii
Dechlorobacter hydrogenophilus
Dechloromarinus chlorophilus
Dechloromonas aromatica
Deefgea rivuli
Deferribacter desulfuricans
Dehalobacter restrictus
Dehalococcoides mccartyi
Dehalogenimonas lykanthroporepellens
Deinococcus geothermalis
Delftia acidovorans
Demetria terragena
Denitrobacterium detoxificans
Denitrovibrio acetiphilus
Dermacoccus nishinomiyaensis
Dermatophilus congolensis
Derxia gummosa
Desulfarculus baarsii
Desulfatibacillum alkenivorans
Desulfatirhabdium butyrativorans
Desulfitibacter alkalitolerans
Desulfitobacterium hafniense
Desulfobacca acetoxidans
Desulfobacter postgatei
Desulfobacula toluolica
Desulfobotulus alkaliphilus
Desulfobulbus propionicus
Desulfocapsa sulfexigens
Desulfocurvus vexinensis
Desulfohalobium retbaense
Desulfomicrobium baculatum
Desulfomonile tiedjei
Desulfonatronospira thiodismutans
Desulfonatronovibrio hydrogenovorans
Desulfonatronum thioautotrophicum
Desulfonema limicola
Desulfonispora thiosulfatigenes
Desulforegula conservatrix
Desulfosarcina variabilis
Desulfospira joergensenii
Desulfosporosinus orientis
Desulfotalea psychrophila
Desulfotignum phosphitoxidans
Desulfovermiculus halophilus
Desulfovibrio desulfuricans
Desulfovirgula thermocuniculi
Desulfurella acetivorans
Desulfurispirillum indicum
Desulfurispora thermophila
Desulfurivibrio alkaliphilus
Desulfurobacterium thermolithotrophum
Desulfuromonas acetoxidans
Desulfuromusa kysingii
Dethiobacter alkaliphilus
Dethiosulfovibrio peptidovorans
Diaphorina citri
Dichelobacter nodosus
Dickeya dadantii
Dictyoglomus thermophilum
Dictyoglomus turgidum
Dictyostelium discoideum
Dielma fastidiosa
Dietzia cinnamea
Dinoroseobacter shibae
Dolosigranulum pigrum
Dorea longicatena
Draconibacterium orientale
Drosophila melanogaster
Drosophila melanogaster
Duganella zoogloeoides
Dyadobacter fermentans
Dyella japonica
Dysgonomonas gadei
Echinicola vietnamensis
Ectocarpus siliculosus
Edaphobacter aggregans
Edwardsiella tarda
Eggerthella lenta
Eggerthia catenaformis
Ehrlichia chaffeensis
Eikenella corrodens
Elioraea tepidiphila
Elizabethkingia anophelis
Elusimicrobium minutum
Emiliania huxleyi
Empedobacter brevis
Emticicia oligotrophica
Endozoicomonas montiporae
Enhydrobacter aerosaccus
Enorma massiliensis
Ensifer adhaerens
Entamoeba histolytica
Enterobacter cloacae
Enterococcus faecalis
Enterovibrio norvegicus
Epilithonimonas tenax
Eremococcus coleocola
Eremothecium cymbalariae
Erwinia amylovora
Erysipelothrix rhusiopathiae
Erythrobacter litoralis
Escherichia coli
Eubacterium limosum
Eudoraea adriatica
Euglena gracilis
Ewingella americana
Faecalibacterium prausnitzii
Ferrimicrobium acidiphilum
Ferrimonas balearica
Ferroglobus placidus
Ferroplasma acidarmanus
Fervidicoccus fontis
Fervidobacterium nodosum
Fibrella aestuarina
Fibrisoma limi
Fibrobacter succinogenes
Fibrobacter succinogenes
Filifactor alocis
Fimbriimonas ginsengisoli
Finegoldia magna
Fischerella muscicola
Flavobacterium psychrophilum
Flavonifractor plautii
Flectobacillus major
Flexistipes sinusarabici
Flexithrix dorotheae
Fluoribacter dumoffii
Fluviicola taffensis
Fodinicurvata sediminis
Fonticula alba
Formivibrio citricus
Formosa agariphila
Francisella philomiragia
Frankia alni
Frateuria aurantia
Frateuria terrea
Fructobacillus fructosus
Fulvimarina pelagi
Fulvivirga imtechensis
Fusobacterium nucleatum
Gaetbulibacter saemankumensis
Gallaecimonas xiamenensis
Gallibacterium anatis
Gallionella capsiferriformans
Gardnerella vaginalis
Gayadomonas joobiniege
Gelidibacter mesophilus
Gemella haemolysans
Geminicoccus roseus
Gemmatimonas aurantiaca
Geoalkalibacter ferrihydriticus
Geobacillus kaustophilus
Geodermatophilus obscurus
Geopsychrobacter electrodiphilus
Geothrix fermentans
Geovibrio thiophilus
Giesbergeria anulus
Gilliamella apicola
Gilvimarinus chinensis
Glaciecola nitratireducens
Glaciibacter superstes
Glaucocystis nostochinearum
Globicatella sulfidifaciens
Gloeobacter violaceus
Glossina brevipalpis
Gluconacetobacter diazotrophicus
Gluconobacter oxydans
Glycine max
Glycomyces arizonensis
Gordonia bronchialis
Gordonibacter pamelaeae
Gracilibacillus lacisalsi
Gracilimonas tropica
Granulibacter bethesdensis
Granulicatella elegans
Gromia sphaerica
Guillardia theta
Gulosibacter molinativorax
Guttulinopsis vulgaris
Haematobacter missouriensis
Haemophilus influenzae
Hafnia alvei
Hahella chejuensis
Haladaptatus paucihalophilus
Halalkalibacillus halophilus
Halalkalicoccus jeotgali
Haliangium ochraceum
Haliea salexigens
Haliscomenobacter hydrossis
Hallella seregens
Haloarcula marismortui
Halobacillus halophilus
Halobacteroides halobius
Halobiforma nitratireducens
Halococcus saccharolyticus
Haloferax mediterranei
Halogeometricum borinquense
Haloglycomyces albus
Halogranum salarium
Halohasta litchfieldiae
Halomicrobium mukohataei
Halomonas elongata
Halonatronum saccharophilum
Halopiger xanaduensis
Haloplanus natans
Haloplasma contractile
Haloquadratum walsbyi
Halorhabdus utahensis
Halorhodospira halochloris
Halorubrum lacusprofundi
Halosimplex carlsbadense
Halostagnicola larsenii
Halotalea alkalilenta
Haloterrigena turkmenica
Halothermothrix orenii
Halothiobacillus neapolitanus
Halovivax ruber
Halyomorpha halys
Hamadaea tsunoensis
Helcococcus sueciensis
Helicobacter cetorum
Hellea balneolensis
Helobdella robusta
Henriciella marina
Herbaspirillum seropedicae
Herminiimonas arsenicoxydans
Herpetosiphon aurantiacus
Hippea maritima
Hirschia baltica
Histophilus somni
Hoeflea phototrophica
Holophaga foetida
Holospora undulata
Homo sapiens
Humibacter albus
Hydrocarboniphaga effusa
Hydrogenobacter thermophilus
Hydrogenovibrio marinus
Hylemonella gracilis
Hyperthermus butylicus
Hypholoma sublateritium
Hyphomicrobium nitrativorans
Hyphomonas neptunium
Idiomarina loihiensis
Ignatzschineria larvae
Ignavibacterium album
Ignicoccus hospitalis
Ignisphaera aggregans
Ilyobacter polytropus
Imtechella halotolerans
Indibacter alkaliphilus
Inquilinus limosus
Intrasporangium calvum
Isoptericola variabilis
Isosphaera pallida
Ixodes scapularis
Jakoba libera
Jeotgalicoccus psychrophilus
Jiangella gansuensis
Johnsonella ignava
Jonesia denitrificans
Jonquetella anthropi
Joostella marina
Kaistia adipata
Kallipyga massiliensis
Kandleria vitulina
Kangiella koreensis
Kiloniella laminariae
Kineococcus radiotolerans
Kineosphaera limosa
Kingella kingae
Kitasatospora setae
Klebsiella oxytoca
Kluyvera ascorbata
Kluyveromyces lactis
Kocuria rhizophila
Kordia algicida
Kordiimonas gwangyangensis
Kosakonia radicincitans
Kosmotoga olearia
Kozakia baliensis
Kribbella flavida
Ktedonobacter racemifer
Kurthia massiliensis
Kushneria aurantia
Kutzneria albida
Kytococcus sedentarius
Laccaria bicolor
Lachnobacterium bovis
Lachnospira multipara
Lactobacillus acidophilus
Lactococcus garvieae
Lamprocystis purpurea
Laribacter hongkongensis
Lautropia mirabilis
Lawsonia intracellularis
Leadbetterella byssophila
Leclercia adecarboxylata
Leeia oryzae
Leeuwenhoekiella blandensis
Legionella micdadei
Leifsonia xyli
Leishmania infantum
Lelliottia amnigena
Leminorella grimontii
Lentisphaera araneosa
Leptonema illini
Leptospira biflexa
Leptospirillum ferriphilum
Leptothrix cholodnii
Leucobacter chromiiresistens
Leuconostoc kimchii
Leucothrix mucor
Lewinella cohaerens
Listeria innocua
Lodderomyces elongisporus
Longispora albida
Lonsdalea quercina
Lottia gigantea
Luteimonas mephitis
Luteimonas sp
Lutibaculum baratangense
Lyngbya majuscula
Lysinibacillus sphaericus
Lysobacter antibioticus
Lysobacter defluvii
Macrococcus caseolyticus
Magnetospirillum magneticum
Mahella australiensis
Malassezia globosa
Malawimonas californiana
Malawimonas jakobiformis
Mannheimia haemolytica
Maricaulis maris
Marichromatium purpuratum
Marinactinospora thermotolerans
Marinilabilia salmonicolor
Marinimicrobium agarilyticum
Mariniradius saccharolyticus
Marinithermus hydrothermalis
Marinitoga piezophila
Marinobacterium litorale
Marinococcus halotolerans
Marinomonas mediterranea
Marinospirillum insulare
Mariprofundus ferrooxydans
Maritalea myrionectae
Marivirga tractuosa
Martelella mediterranea
Marvinbryantia formatexigens
Massilia alkalitolerans
Mastigamoeba balamuthi
Mastigocladopsis repens
Meiothermus ruber
Melioribacter roseus
Melissococcus plutonius
Mesoflavibacter zeaxanthinifaciens
Mesonia mobilis
Mesoplasma florum
Mesorhizobium australicum
Metallosphaera sedula
Methanobrevibacter smithii
Methanocaldococcus jannaschii
Methanococcoides burtonii
Methanococcus maripaludis
Methanocorpusculum labreanum
Methanoculleus bourgensis
Methanofollis liminatans
Methanohalobium evestigatum
Methanohalophilus mahii
Methanolinea tarda
Methanolobus psychrophilus
Methanomethylovorans hollandica
Methanomicrobium mobile
Methanopyrus kandleri
Methanoregula boonei
Methanosalsum zhilinae
Methanosarcina barkeri
Methanosphaera stadtmanae
Methanosphaerula palustris
Methanospirillum hungatei
Methanothermobacter thermautotrophicus
Methanothermococcus okinawensis
Methanothermus fervidus
Methanotorris igneus
Methermicoccus shengliensis
Methylacidiphilum infernorum
Methylobacillus flagellatus
Methylobacter tundripaludum
Methylocaldum szegediense
Methylocapsa acidiphila
Methylocella silvestris
Methylococcus capsulatus
Methyloferula stellata
Methyloglobulus morosus
Methylohalobius crimeensis
Methylomarinum vadi
Methylophaga frappieri
Methylophilus methylotrophus
Methyloversatilis universalis
Methylovulum miyakonense
Micavibrio aeruginosavorus
Microbacterium paraoxydans
Micrococcus luteus
Microlunatus phosphovorus
Micromonas pusilla
Micromonas pusilla
Microscilla marina
Microvirgula aerodenitrificans
Ministeria vibrans
Mitsuokella multacida
Mobilicoccus pelagius
Mobiluncus curtisii
Mogibacterium timidum
Moniliophthora perniciosa
Monosiga brevicollis
Moorella thermoacetica
Moraxella catarrhalis
Morganella morganii
Moritella marina
Mucilaginibacter paludis
Mucispirillum schaedleri
Muricauda ruestringensis
Mus musculus
Myroides odoratimimus
Myxococcus xanthus
Nadsonia fulvescens
Naegleria gruberi
Nafulsella turpanensis
Nakamurella multipartita
Nannocystis exedens
Nanoarchaeum equitans
Natranaerobius thermophilus
Natrialba magadii
Natrinema pellirubrum
Natronincola peptidivorans
Natronobacterium gregoryi
Natronococcus occultus
Natronomonas pharaonis
Natronorubrum sulfidifaciens
Naumovozyma castellii
Nautilia profundicola
Neisseria gonorrhoeae
Nematostella vectensis
Neorhizobium galegae
Neorickettsia sennetsu
Neptuniibacter caesariensis
Neptunomonas japonica
Nereida ignava
Nesterenkonia alba
Neurospora crassa
Nevskia ramosa
Niabella soli
Niastella koreensis
Nisaea denitrificans
Nitratireductor aquibiodomus
Nitriliruptor alkaliphilus
Nitrincola lacisaponensis
Nitritalea halalkaliphila
Nitrobacter hamburgensis
Nitrococcus mobilis
Nitrosococcus oceani
Nitrosomonas europaea
Nitrososphaera viennensis
Nitrosospira multiformis
Nitrospira defluvii
Nocardia brasiliensis
Nocardiopsis alba
Nodularia spumigena
Nonomuraea coxensis
Novispirillum itersonii
Oceanibaculum indicum
Oceanicaulis alexandrii
Oceanicola granulosus
Oceaniovalibus guishaninsula
Oceanithermus profundus
Oceanobacillus iheyensis
Oceanobacter kriegii
Oceanospirillum maris
Octadecabacter arcticus
Odoribacter splanchnicus
Oenococcus oeni
Oikopleura dioica
Oligella ureolytica
Olivibacter sitiensis
Olsenella uli
Opitutus terrae
Orenia marismortui
Orientia tsutsugamushi
Ornithinimicrobium pekingense
Ornithobacterium rhinotracheale
Oryza sativa
Oscillibacter valericigenes
Oscillochloris trichoides
Ottowia thiooxydans
Owenweeksia hongkongensis
Oxalobacter formigenes
Oxyrrhis marina
Paenibacillus lactis
Palaeococcus pacificus
Paludibacter propionicigenes
Paludibacterium yongneupense
Pandoraea pnomenusa
Pannonibacter phragmitetus
Pantoea ananatis
Parabacteroides distasonis
Parachlamydia acanthamoebae
Paracoccidioides brasiliensis
Paracoccus denitrificans
Paramecium tetraurelia
Paraoerskovia marina
Paraprevotella xylaniphila
Parascardovia denticolens
Parasutterella excrementihominis
Parvibaculum lavamentivorans
Parvularcula bermudensis
Pasteurella multocida
Paucisalibacillus globulus
Pectobacterium carotovorum
Pediculus humanus
Pediococcus claussenii
Pelagibacterium halotolerans
Pelodictyon luteolum
Pelotomaculum thermopropionicum
Peptoniphilus harei
Peptostreptococcus anaerobius
Perkinsus marinus
Perlucidibaca piscinae
Persephonella marina
Petrotoga mobilis
Phaeobacter gallaeciensis
Phaeodactylum tricornutum
Phenylobacterium zucineum
Photobacterium profundum
Photorhabdus luminescens
Phycisphaera mikurensis
Physarum polycephalum
Phytophthora ramorum
Pirellula staleyi
Piscirickettsia salmonis
Planktomarina temperata
Planktothrix agardhii
Planococcus donghaensis
Plasmodium falciparum
Pleomorphomonas oryzae
Plesiocystis pacifica
Polaromonas naphthalenivorans
Polycyclovorans algicola
Polynucleobacter necessarius
Pontibacillus halophilus
Pontibacter roseus
Populus trichocarpa
Porphyromonas gingivalis
Porticoccus hydrocarbonoclasticus
Postia placenta
Pragia fontium
Prauserella rugosa
Prevotella dentalis
Prochlorococcus marinus
Prochloron didemni
Prochlorothrix hollandica
Prolixibacter bellariivorans
Promicromonospora kroppenstedtii
Propionicicella superfundia
Propionimicrobium lymphophilum
Propionispira arboris
Propionivibrio dicarboxylicus
Prosthecochloris aestuarii
Prosthecomicrobium hirschii
Proteiniborus ethanoligenes
Proteiniclasticum ruminis
Proteiniphilum acetatigenes
Proteocatella sphenisci
Proteus mirabilis
Providencia stuartii
Prymnesium parvum
Pseudacidovorax intermedius
Pseudaminobacter salicylatoxidans
Pseudoalteromonas atlantica
Pseudobutyrivibrio ruminis
Pseudomonas aeruginosa
Pseudonocardia dioxanivorans
Pseudoramibacter alactolyticus
Pseudorhodobacter ferrugineus
Pseudoxanthomonas spadix
Psychrilyobacter atlanticus
Psychrobacter cryohalolentis
Psychroflexus gondwanensis
Psychromonas ingrahamii
Pygsuia biforma
Pyramidobacter piscolens
Pyrobaculum aerophilum
Pyrococcus furiosus
Pyrolobus fumarii
Rahnella aquatilis
Ralstonia solanacearum
Ramlibacter tataouinensis
Raoultella ornithinolytica
Raphidiopsis brookii
Rathayibacter toxicus
Rattus norvegicus
Reclinomonas americana
Reinekea blandensis
Renibacterium salmoninarum
Reyranella massiliensis
Rheinheimera nanhaiensis
Rhizobium leguminosarum
Rhodobacter capsulatus
Rhodoferax ferrireducens
Rhodoluna lacicola
Rhodomicrobium vannielii
Rhodomonas salina
Rhodonellum psychrophilum
Rhodopirellula baltica
Rhodopseudomonas palustris
Rhodospirillum rubrum
Rhodothermus marinus
Rhodovibrio salinarum
Richelia intracellularis
Ricinus communis
Rickettsia conorii
Rickettsiella grylli
Riemerella anatipestifer
Rikenella microfusus
Robiginitalea biformata
Robiginitomaculum antarcticum
Roombia truncata
Roseburia hominis
Roseiflexus castenholzii
Roseobacter litoralis
Roseomonas mucosa
Rothia dentocariosa
Ruania albidiflava
Rubellimicrobium thermophilum
Rubidibacter lacunae
Rubritalea marina
Rubritepida flocculans
Rubrivivax gelatinosus
Rubrobacter xylanophilus
Rudaea cellulosilytica
Rudanella lutea
Runella slithyformis
Saccharibacillus sacchari
Saccharibacter floricola
Saccharomonospora viridis
Saccharomyces cerevisiae
Saccharophagus degradans
Saccharopolyspora erythraea
Saccharospirillum impatiens
Saccharothrix espanaensis
Sagittula stellata
Saitoella complicata
Salinarimonas rosea
Salinibacterium amurskyense
Salinicoccus carnicancri
Salinimicrobium xinjiangense
Salinimonas chungwhensis
Salinisphaera shabanensis
Salinispora arenicola
Salinivibrio costicola
Salipiger mucosus
Salisaeta longa
Salmonella enterica
Salpingoeca rosetta
Salsuginibacillus kocurii
Sandaracinus amylolyticus
Sanguibacter keddieii
Saprolegnia parasitica
Saprospira grandis
Sawyeria marylandensis
Scardovia inopinata
Schizophyllum commune
Schizosaccharomyces pombe
Schlesneria paludicola
Sciscionella marina
Sclerotinia sclerotiorum
Sebaldella termitidis
Sediminibacillus halophilus
Sediminimonas qiaohouensis
Segetibacter koreensis
Segniliparus rotundus
Selenomonas ruminantium
Serinicoccus marinus
Serpula lacrymans
Serratia fonticola
Sharpea azabuensis
Shewanella oneidensis
Shigella flexneri
Shimazuella kribbensis
Shuttleworthia satelles
Sideroxydans lithotrophicus
Silanimonas lenta
Simiduia agarivorans
Simkania negevensis
Simonsiella muelleri
Simplicispira psychrophila
Singulisphaera acidiphila
Sinomicrobium oceani
Skermanella stibiiresistens
Slackia heliotrinireducens
Slackia piriformis
Smaragdicoccus niigatensis
Sneathiella glossodoripedis
Snodgrassella alvi
Sodalis glossinidius
Solanum tuberosum
Solibacillus silvestris
Solimonas soli
Solirubrobacter soli
Solitalea canadensis
Solobacterium moorei
Sorangium cellulosum
Sorghum bicolor
Sphaerobacter thermophilus
Sphaerotilus natans
Sphingopyxis alaskensis
Spiroplasma culicicola
Spirosoma linguale
Spirulina major
Spizellomyces punctatus
Spongiibacter tropicus
Sporichthya polymorpha
Sporocytophaga myxococcoides
Sporolactobacillus terrae
Sporolituus thermophilus
Sporomusa ovata
Sporosarcina newyorkensis
Stachyamoeba lipophora
Stackebrandtia nassauensis
Stanieria cyanosphaera
Staphylococcus aureus
Staphylothermus hellenicus
Stappia stellulata
Starkeya novella
Stenotrophomonas maltophilia
Stenotrophomonas maltophilia
Stenoxybacter acetivorans
Stigmatella aurantiaca
Streptobacillus moniliformis
Streptococcus mutans
Streptomyces coelicolor
Streptosporangium roseum
Succinatimonas hippei
Succinimonas amylolytica
Succinispira mobilis
Succinivibrio dextrinosolvens
Sulfobacillus acidophilus
Sulfuricella denitrificans
Sulfurihydrogenibium azorense
Sulfurimonas denitrificans
Sulfurospirillum barnesii
Sutterella wadsworthensis
Symbiobacterium thermophilum
Syntrophobacter fumaroxidans
Syntrophobotulus glycolicus
Syntrophomonas wolfei
Syntrophorhabdus aromaticivorans
Syntrophothermus lipocalidus
Syntrophus aciditrophicus
Tatumella ptyseos
Taylorella asinigenitalis
Tenacibaculum ovolyticum
Tepidanaerobacter acetatoxydans
Tepidimicrobium xylanilyticum
Tepidiphilus margaritifer
Terasakiella pusilla
Teredinibacter turnerae
Terribacillus aidingensis
Terriglobus saanensis
Terrimonas ferruginea
Tetragenococcus halophilus
Tetrahymena pyriformis
Tetrahymena thermophila
Tetrapisispora phaffii
Thalassiosira pseudonana
Thalassobacillus devorans
Thalassobaculum salexigens
Thalassolituus oleivorans
Thalassospira profundimaris
Thalassotalea agarivorans
Thecamonas trahens
Theileria annulata
Thermacetogenium phaeum
Thermaerobacter marianensis
Thermanaeromonas toyohensis
Thermanaerovibrio acidaminovorans
Thermicanus aegyptius
Thermithiobacillus tepidarius
Thermoanaerobacter italicus
Thermoanaerobacterium thermosaccharolyticum
Thermoanaerobaculum aquaticum
Thermobacillus composti
Thermobaculum terrenum
Thermobifida fusca
Thermobispora bispora
Thermobrachium celere
Thermococcus kodakarensis
Thermocrinis albus
Thermocrispum agreste
Thermodesulfatator atlanticus
Thermodesulfatator indicus
Thermodesulfobacterium commune
Thermodesulfobacterium hveragerdense
Thermodesulfobacterium hydrogeniphilum
Thermodesulfobacterium thermophilum
Thermodesulforhabdus norvegica
Thermodesulfovibrio yellowstonii
Thermofilum pendens
Thermoleophilum album
Thermomicrobium roseum
Thermomonas fusca
Thermomonospora curvata
Thermonema rossianum
Thermoplasma acidophilum
Thermoproteus uzoniensis
Thermosediminibacter oceani
Thermosipho africanus
Thermosphaera aggregans
Thermotoga maritima
Thermovibrio ammonificans
Thermovirga lienii
Thermus oshimai
Thioalkalivibrio nitratireducens
Thiobacillus denitrificans
Thiocapsa marina
Thioclava pacifica
Thiocystis violascens
Thioflavicoccus mobilis
Thiohalomonas denitrificans
Thiohalorhabdus denitrificans
Thiomonas intermedia
Thiorhodococcus drewsii
Thiorhodospira sibirica
Thorsellia anophelis
Tistrella mobilis
Tolumonas auensis
Torulaspora delbrueckii
Toxoplasma gondii
Trabulsiella guamensis
Treponema denticola
Tribolium castaneum
Trichodesmium erythraeum
Trichomonas vaginalis
Trichoplax adhaerens
Truepera radiovictrix
Trueperella pyogenes
Trypanosoma brucei
Tsukamurella paurometabola
Tuberibacillus calidus
Tumebacillus flagellatus
Turneriella parva
Uliginosibacterium gangwonense
Uncinocarpus reesii
Ureaplasma parvum
Ureibacillus thermosphaericus
